ESTU_INST_DEPARTAMENTO,ESTU_METODO_PRGM,MAX_MOD_INGLES_PUNT,AVG_TOTAL_INGLES_PUNT
ANTIOQUIA,DISTANCIA,300,155.70
ANTIOQUIA,DISTANCIA VITUAL,300,155.70
ANTIOQUIA,PRESENCIAL,300,155.70
ATLANTICO,DISTANCIA VITUAL,207,152.16
ATLANTICO,PRESENCIAL,300,152.16
BOGOTA,DISTANCIA,300,152.09
BOGOTA,DISTANCIA VITUAL,232,152.09
BOGOTA,PRESENCIAL,300,152.09
BOLIVAR,DISTANCIA,203,146.98
BOLIVAR,DISTANCIA VITUAL,196,146.98
BOLIVAR,PRESENCIAL,300,146.98
BOYACA,DISTANCIA,214,149.35
BOYACA,DISTANCIA VITUAL,190,149.35
BOYACA,PRESENCIAL,232,149.35
CALDAS,DISTANCIA,211,154.92
CALDAS,DISTANCIA VITUAL,203,154.92
CALDAS,PRESENCIAL,300,154.92
CAQUETA,DISTANCIA,183,137.11
CAQUETA,PRESENCIAL,300,137.11
CASANARE,PRESENCIAL,204,139.13
CAUCA,DISTANCIA,160,141.97
CAUCA,DISTANCIA VITUAL,135,141.97
CAUCA,PRESENCIAL,300,141.97
CESAR,PRESENCIAL,228,135.81
CHOCO,DISTANCIA,198,123.82
CHOCO,PRESENCIAL,218,123.82
CORDOBA,DISTANCIA,224,142.66
CORDOBA,PRESENCIAL,300,142.66
CUNDINAMARCA,PRESENCIAL,300,164.76
HUILA,DISTANCIA,195,145.58
HUILA,PRESENCIAL,300,145.58
LA GUAJIRA,DISTANCIA,175,127.93
LA GUAJIRA,PRESENCIAL,213,127.93
MAGDALENA,DISTANCIA,179,146.61
MAGDALENA,PRESENCIAL,300,146.61
META,PRESENCIAL,228,146.10
NARIÃ‘O,DISTANCIA,206,142.77
NARIÃ‘O,PRESENCIAL,227,142.77
NORTE SANTANDER,DISTANCIA,214,138.58
NORTE SANTANDER,DISTANCIA VITUAL,176,138.58
NORTE SANTANDER,PRESENCIAL,300,138.58
PUTUMAYO,PRESENCIAL,201,129.60
QUINDIO,DISTANCIA,216,145.98
QUINDIO,DISTANCIA VITUAL,195,145.98
QUINDIO,PRESENCIAL,300,145.98
RISARALDA,DISTANCIA,188,154.67
RISARALDA,PRESENCIAL,300,154.67
SANTANDER,DISTANCIA,209,154.75
SANTANDER,DISTANCIA VITUAL,224,154.75
SANTANDER,PRESENCIAL,300,154.75
SUCRE,DISTANCIA,232,136.61
SUCRE,DISTANCIA VITUAL,225,136.61
SUCRE,PRESENCIAL,300,136.61
TOLIMA,DISTANCIA,223,140.14
TOLIMA,PRESENCIAL,300,140.14
VALLE,DISTANCIA,214,155.87
VALLE,DISTANCIA VITUAL,189,155.87
VALLE,PRESENCIAL,300,155.87
